Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1
DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.",12 Church Street Suite 100,McKean,814-642-9541,42,083,42,42,"Port Allegany, Pennsylvania 16743
(41.8145382, -78.281488)"
DDAP-Licensed Treatment Facility,Discovery House Ha,99 South Cameron Street,Dauphin,717-233-7290,42,043,22,22,"Harrisburg, Pennsylvania 17101
(40.2632563, -76.8734907)"
Center of Excellence,"Crossroads Counseling, Inc.",444 East College Avenue (Suite 460),Centre,814-231-0490,42,027,14,14,"State College, Pennsylvania 16801
(40.79889, -77.855733)"
Center of Excellence,Tadiso Incorporated,1425 Beaver Avenue,Allegheny,412-322-8415 ext 164,42,003,2,02,"Pittsburgh, Pennsylvania 15233
(40.454031, -80.029828)"
DDAP-Licensed Treatment Facility,"Discovery House, Inc.",214 Airport Road,Clearfield,814-768-7575,42,033,17,17,"Clearfield, Pennsylvania 16830
(41.045871, -78.397817)"
DDAP-Licensed Treatment Facility,"RHJ Medical Center, Inc.",1005 Old State Route 119,Westmoreland,724-696-9600,42,129,65,65,"Hunker, Pennsylvania 15639
(40.19293, -79.58739)"
DDAP-Licensed Treatment Facility,"Habit OPCO, Inc. - Allentown",4400 South Cedarbrook Road,Lehigh,610-481-0444,42,077,39,39,"Allentown, Pennsylvania 18103
(40.5762993, -75.5444164)"
Center of Excellence,The Wright Center for Primary Care Ryan White Infectious Disease Clinic,640 Madison Avenue,Lackawanna,570-941-0630,42,069,35,35,"Scranton, Pennsylvania 18510
(41.411443, -75.653404)"
DDAP-Licensed Treatment Facility,"Two Roads Counseling Services, Inc.",203 Main Street,Jefferson,814-952-8446,42,065,33,33,"Brookville, Pennsylvania 15825
(41.160234, -79.079773)"
DDAP-Licensed Treatment Facility,"Creative Health Services, Inc.",100 First Avenue,Chester,610-613-8158,42,029,15,15,"Phoenixville, Pennsylvania 19460
(40.129892, -75.511521)"
DDAP-Licensed Treatment Facility,Western Pennsylvania Teen Challenge,220 Challenge Lane,Allegheny,724-265-4110,42,003,2,02,"Cheswick, Pennsylvania 15024
(40.572054, -79.82603)"
Center of Excellence,"Wedge Medical Center, Inc",6711 Old York Road,Philadelphia,215-276-3922 x2070,42,101,51,51,"Philadelphia, Pennsylvania 19126
(40.056212, -75.139784)"
DDAP-Licensed Treatment Facility,Family Service Association of Bucks County,708 North Shady Retreat Road,Bucks,215-757-6916,42,017,9,09,"Doylestown, Pennsylvania 18901
(40.319834, -75.142072)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc.","2012 Centre Avenue, PO Box 2548",Allegheny,412-224-2962,42,003,2,02,"Pittsburgh, Pennsylvania 15230
(40.442168, -79.9949422)"
DDAP-Licensed Treatment Facility,"A & O Recovery Services, Inc.",3319 Kensington Avenue,Philadelphia,215-426-1992,42,101,51,51,"Philadelphia, Pennsylvania 19134
(39.998, -75.11018)"
DDAP-Licensed Treatment Facility,"Pennsylvania Counseling Services, Inc.",610 Poplar Street,Lancaster,717-449-5888,42,071,36,36,"Columbia, Pennsylvania 17512
(40.038204, -76.50039)"
DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.",4625 Frankford Avenue,Philadelphia,215-289-3350,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.015153, -75.084735)"
DDAP-Licensed Treatment Facility,Highland Outpatient Services,"101 South Mercer Street, Suite 104",Lawrence,724-856-7211,42,073,37,37,"New Castle, Pennsylvania 16101
(40.99822, -80.3452949)"
DDAP-Licensed Treatment Facility,Gaudenzia Inc. Winner Co-Occurring Women & Children Program,1834 West Tioga Street,Philadelphia,215-228-7595,42,101,51,51,"Philadelphia, Pennsylvania 19140
(40.006923, -75.159757)"
DDAP-Licensed Treatment Facility,New Way of Life,2275 Warren Road,Indiana,570-601-0877,42,063,32,32,"Indiana, Pennsylvania 15701
(40.61045, -79.185838)"
Center of Excellence,"Resources for Human Development, Inc./Montgomery County Methadone Center",316 DeKalb Street,Montgomery,610-272-3710 X 102,42,091,46,46,"Norristown, Pennsylvania 19401
(40.114155, -75.341959)"
DDAP-Licensed Treatment Facility,"Community Service Foundation, Inc.",52 East Street Road,Bucks,215-953-0895,42,017,9,09,"Feasterville, Pennsylvania 19053
(40.1513428, -75.0035038)"
Center of Excellence,"Crossroads Counseling, Inc.",1873 Shumway Hill Road,Tioga,570-948-9111,42,117,59,59,"Wellsboro, Pennsylvania 16901
(41.741301, -77.271238)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Outreach","1306 Spring Garden Street, First Floor",Philadelphia,215-238-2150,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.9644541, -75.145782)"
DDAP-Licensed Treatment Facility,Asociacion De Puertorriquenos En Marcha Proyecto Nueva Vida,4301 Rising Sun Avenue,Philadelphia,267-296-7200,42,101,51,51,"Philadelphia, Pennsylvania 19140
(40.0159682, -75.1291831)"
Center of Excellence,"Crossroads Counseling, Inc.",501 East Third Street,Lycoming,570-323-7535,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.244938, -76.993994)"
DDAP-Licensed Treatment Facility,Millcreek Community Hospital,5515 Peach Street,Erie,814-868-7701,42,049,25,25,"Erie, Pennsylvania 16509
(42.0739554, -80.0936748)"
DDAP-Licensed Treatment Facility,Rehab After Work,"400 Franklin Avenue, Suite 240",Chester,610-644-6464,42,029,15,15,"Phoenixville, Pennsylvania 19460
(40.140858, -75.52007)"
DDAP-Licensed Treatment Facility,Diakon Child Family and Community Ministries,25 East Mcclure Street,Perry,717-795-0330,42,099,50,50,"New Bloomfield, Pennsylvania 17068
(40.4190882, -77.1858149)"
DDAP-Licensed Treatment Facility,Alliance Medical Services,"1425 Scalp Avenue, Suite 175",Cambria,814-269-4700,42,021,11,11,"Johnstown, Pennsylvania 15904
(40.2722381, -78.8576489)"
DDAP-Licensed Treatment Facility,"Community Alternatives, Inc",700 South Scotland Lane,Lawrence,724-652-2211,42,073,37,37,"New Castle, Pennsylvania 16101
(40.997518, -80.378184)"
DDAP-Licensed Treatment Facility,ADAPPT Outpatient Treatment Services,"400 Washington Street, Suite 1205",Berks,610-478-8591,42,011,6,06,"Reading, Pennsylvania 19601
(40.336621, -75.9292959)"
DDAP-Licensed Treatment Facility,"Family Services of Warren County, Inc.","589 Hospital Drive, Suite E",Warren,814-723-1330,42,123,62,62,"Warren, Pennsylvania 16365
(41.8814799, -79.1478682)"
DDAP-Licensed Treatment Facility,RHD Nova III,"1100 West Godfrey Avenue, Building #2",Philadelphia,215-879-0103,42,101,51,51,"Philadelphia, Pennsylvania 19141
(40.046268, -75.1394544)"
DDAP-Licensed Treatment Facility,Rehab After Work,"801 Old York Road, Suite 310",Montgomery,610-889-9939,42,091,46,46,"Jenkintown, Pennsylvania 19046
(40.1050919, -75.124383)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.","1605 North Cedar Crest Boulevard, Suite 602",Lehigh,610-434-1126,42,077,39,39,"Allentown, Pennsylvania 18104
(40.6149292, -75.5315281)"
DDAP-Licensed Treatment Facility,"Northwestern Human Services of Delaware County, Inc.",800 Chester Pike,Delaware,610-537-1765,42,045,23,23,"Sharon Hill, Pennsylvania 19079
(39.9118187, -75.269795)"
DDAP-Licensed Treatment Facility,"Purposeful Living Counseling Services, LLC","3992 Penn Avenue, Suite #5",Berks,610-678-5000,42,011,6,06,"Sinking Spring, Pennsylvania 19608
(40.324741, -76.02374)"
DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.",1305 Bucktail Road,Elk,814-781-1700,42,047,24,24,"Saint Marys, Pennsylvania 15857
(41.428623, -78.527126)"
DDAP-Licensed Treatment Facility,"Stop and Surrender, Inc.",2522 West Huntingdon Street,Philadelphia,215-225-4626,42,101,51,51,"Philadelphia, Pennsylvania 19132
(39.994555, -75.173606)"
DDAP-Licensed Treatment Facility,PA Treatment and Healing,1536 Catherine Street,Lycoming,570-321-7860,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.25669, -76.98294)"
DDAP-Licensed Treatment Facility,"Dars, Inc. Supervised Independent Living Program",1290 Prospect Road,Lancaster,717-285-0420,42,071,36,36,"Columbia, Pennsylvania 17512
(40.036313, -76.4551384)"
DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,800 Manor Drive,Washington,724-225-9700,42,125,63,63,"Washington, Pennsylvania 15301
(40.1809476, -80.2204457)"
DDAP-Licensed Treatment Facility,Alle Kiski Pavilion,1704 Fourth Avenue,Westmoreland,724-843-3212,42,129,65,65,"Arnold, Pennsylvania 15068
(40.57788, -79.76884)"
DDAP-Licensed Treatment Facility,"The Council of Southeast Pennsylvania, Inc.","4459 West Swamp Road, Suite 100",Bucks,215-345-6644,42,017,9,09,"Doylestown, Pennsylvania 18901
(40.3322804, -75.1375944)"
DDAP-Licensed Treatment Facility,Tradition House,830 Sixth Avenue,Blair,814-944-3210,42,013,7,07,"Altoona, Pennsylvania 16602
(40.5158745, -78.393077)"
DDAP-Licensed Treatment Facility,Ashland Addiction Counseling and Education,930 Centre Street,Schuylkill,570-205-2066,42,107,54,54,"Ashland, Pennsylvania 17921
(40.781893, -76.34355)"
DDAP-Licensed Treatment Facility,"Milestone Centers, Inc.",777 Penn Center Blvd  Suite 200,Allegheny,412-371-7391,42,003,2,02,"Pittsburgh, Pennsylvania 15235
(40.426123, -79.810877)"
Center of Excellence,"Total Wellness Center, LLC. Clean Slate",189 E Market Street,Luzerne,413-265-2607,42,079,40,40,"Wilkes-Barre, Pennsylvania 18702
(41.241241, -75.877224)"
DDAP-Licensed Treatment Facility,North Philadelphia Health System - Goldman Clinic,"801 West Girard Avenue, 1st, 2nd, and 4th Floor Tower Building",Philadelphia,215-787-2080,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.9711298, -75.1496002)"
PacMAT,"Geisinger Clinic, Geisinger Medication Assisted Treatment Program",425 Market Street Suite 1 ,Lycoming ,570-368-4477,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.242527, -77.002639)"
DDAP-Licensed Treatment Facility,Best Building and Embracing Sobriety Together,804 Sarah Street Suite 305,Monroe,570-422-6522,42,089,45,45,"Stroudsburg, Pennsylvania 18360
(40.986811, -75.197481)"
DDAP-Licensed Treatment Facility,SPHS Behavioral Health,1100 Ligonier Street - Latrobe Area Office,Westmoreland,724-532-1700,42,129,65,65,"Latrobe, Pennsylvania 15650
(40.2954321, -79.3560136)"
DDAP-Licensed Treatment Facility,"Intercommunity Action, Inc.","6122 Ridge Avenue, 1st Floor",Philadelphia,215-487-1330,42,101,51,51,"Philadelphia, Pennsylvania 19128
(40.0532987, -75.2304038)"
DDAP-Licensed Treatment Facility,"Renewal Treatment, Inc.",700 Fifth Avenue,Allegheny,412-690-2445,42,003,2,02,"Pittsburgh, Pennsylvania 15219
(40.43892, -79.993774)"
DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.","44 East Broad Street, Suite 020",Northampton,610-868-0435,42,095,48,48,"Bethlehem, Pennsylvania 18018
(40.6219291, -75.3771348)"
DDAP-Licensed Treatment Facility,"Catholic Charities Diocese of Harrisburg, PA, Inc.","120 Willow Road, Suite B",Dauphin,717-412-4594,42,043,22,22,"Harrisburg, Pennsylvania 17109
(40.29272, -76.827612)"
DDAP-Licensed Treatment Facility,"Chartiers Community Mental Health And Retardation Center, Inc.",515 Washington Avenue,Allegheny,412-914-8094,42,003,2,02,"Bridgeville, Pennsylvania 15017
(40.357884, -80.112232)"
DDAP-Licensed Treatment Facility,Hanover Treatment Services,120 Penn Street,York,717-969-8400,42,133,67,67,"Hanover, Pennsylvania 17331
(39.809755, -76.980232)"
DDAP-Licensed Treatment Facility,"Minsec Companies, LLC",600 East Luzerne Street,Philadelphia,215-634-8960,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.008686, -75.116496)"
DDAP-Licensed Treatment Facility,Diakon Child Family and Community Ministries,960 Century Drive,Cumberland,717-795-0330,42,041,21,21,"Mechanicsburg, Pennsylvania 17055
(40.2144662, -76.9607143)"
Center of Excellence,"CASA of Livingston County, Inc./Trinity of Bradford County",100 Henry Street,Bradford,570-890-9044 (office); 585-362-2918 (Cell),42,015,8,08,"Sayre, Pennsylvania 18840
(41.997712, -76.532252)"
DDAP-Licensed Treatment Facility,My Sister's Place Thomas Jefferson University,1239 Spring Garden Street,Philadelphia,215-727-1640,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.9366469, -75.2244779)"
DDAP-Licensed Treatment Facility,Wellspan Philhaven,1101 Edgar Street,York,717-851-3265,42,133,67,67,"York, Pennsylvania 17403
(39.951624, -76.710007)"
PacMAT,"Penn State University College of Medicine, Summit Health",12 St. Paul Drive,Franklin,717-217-6072,42,055,28,28,"Chambersburg, Pennsylvania 17201
(39.944525, -77.634829)"
DDAP-Licensed Treatment Facility,"RHJ Medical Center, Inc. Vandergrift, LLC",2994 River Road,Armstrong,724-696-9600,42,005,3,03,"Vandergrift, Pennsylvania 15690
(40.630566, -79.58327)"
DDAP-Licensed Treatment Facility,Adolescent Advocates,1062 East Lancaster Suite 15,Delaware,610-322-6034,42,045,23,23,"Rosemont, Pennsylvania 19010
(40.028273, -75.331385)"
DDAP-Licensed Treatment Facility,Project Transition,3901 Conshohocken Avenue,Philadelphia,215-240-7251,42,101,51,51,"Philadelphia, Pennsylvania 19131
(40.0041059, -75.2067652)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services,75 South Main Street,Franklin,717-261-1426,42,055,28,28,"Chambersburg, Pennsylvania 17201
(39.936226, -77.66164)"
DDAP-Licensed Treatment Facility,"Cen-Clear Child Services, Inc.",60 Industrial Park Road,Clearfield,814-938-6340,42,033,17,17,"Clearfield, Pennsylvania 16830
(41.031191, -78.405358)"
DDAP-Licensed Treatment Facility,"Mcdermott Counseling, LLC",15 West Canal Street,Dauphin,717-514-2317,42,043,22,22,"Hershey, Pennsylvania 17033
(40.289107, -76.683019)"
DDAP-Licensed Treatment Facility,"Mon Yough Community Services, Inc.",335 Shaw Avenue,Allegheny,412-675-8315,42,003,2,02,"Mckeesport, Pennsylvania 15132
(40.349613, -79.86371)"
DDAP-Licensed Treatment Facility,Salvation Army Harbor Light Center,865 West North Avenue,Allegheny,412-231-0500,42,003,2,02,"Pittsburgh, Pennsylvania 15233
(40.45366, -80.016396)"
DDAP-Licensed Treatment Facility,Davis Archway House,164 Schiebel Road,Butler,724-841-0744,42,019,10,10,"Butler, Pennsylvania 16002
(40.819864, -79.77861)"
DDAP-Licensed Treatment Facility,"Gaudenzia DRC, Inc.",3200 Henry Avenue,Philadelphia,215-991-9700,42,101,51,51,"Philadelphia, Pennsylvania 19129
(40.009766, -75.18049)"
DDAP-Licensed Treatment Facility,Livengrin Counseling Center,"1609 South Woodbourne Road, Suite 403 A & B/Suite 404 A & B",Bucks,215-547-1440,42,017,9,09,"Levittown, Pennsylvania 19057
(40.1619329, -74.868714)"
DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.",224 Twin Lakes Road,Somerset,814-443-3639,42,111,56,56,"Somerset, Pennsylvania 15501
(40.008411, -79.0780831)"
DDAP-Licensed Treatment Facility,"Northeast Family Health Care, LLC",1040 South West End Boulevard,Bucks,267-347-4560,42,017,9,09,"Quakertown, Pennsylvania 18951
(40.5080558, -75.3008504)"
DDAP-Licensed Treatment Facility,Crozer Chester Medical Center,2600 West Ninth Street,Delaware,610-497-7200,42,045,23,23,"Chester, Pennsylvania 19013
(39.8377395, -75.3932644)"
DDAP-Licensed Treatment Facility,"A Better Today, Inc.",1339 North Main Avenue,Lackawanna,570-344-1444,42,069,35,35,"Scranton, Pennsylvania 18508
(41.4313389, -75.6647225)"
DDAP-Licensed Treatment Facility,Auberle,2513 Fifth Avenue,Allegheny,412-673-5856,42,003,2,02,"Mckeesport, Pennsylvania 15132
(40.3560609, -79.834973)"
DDAP-Licensed Treatment Facility,"Pennsylvania Associates, LLC D/B/A Mount Pocono Medical","1151 Pocono Boulevard, Suite 3",Monroe,570-839-7246,42,089,45,45,"Mount Pocono, Pennsylvania 18344
(41.1327225, -75.3636874)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc. - Sarah Reed Satellite",2445 West 34th Street,Erie,814-459-6304,42,049,25,25,"Erie, Pennsylvania 16506
(42.085022, -80.12345)"
DDAP-Licensed Treatment Facility,Northeast Community Center for MH/MR,Roosevelt Boulevard And Adams Avenue,Philadelphia,215-831-2800,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.014334, -75.0931046)"
Center of Excellence,"Treatment Trends, Inc",24 South Fifth Street,Lehigh,610-432-7693,42,077,39,39,"Allentown, Pennsylvania 18105
(40.602414, -75.468307)"
DDAP-Licensed Treatment Facility,Gateway Greensburg,"212 Outlet Way, Suite 1",Westmoreland,724-853-7300,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.306496, -79.50376)"
DDAP-Licensed Treatment Facility,"HSA Counseling, Inc. D/B/A Gearty & Skiles Counseling",321 North Market Street,Lancaster,717-394-5334,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.0432465, -76.3077122)"
DDAP-Licensed Treatment Facility,Reading Hospital,"Sixth Avenue And Spruce Street, Building K",Berks,484-628-8070,42,011,6,06,"West Reading, Pennsylvania 19611
(40.33229, -75.94955)"
DDAP-Licensed Treatment Facility,"Holcomb Associates, Inc.",225 South 69 Street,Delaware,610-352-8943,42,045,23,23,"Upper Darby, Pennsylvania 19082
(39.9573936, -75.2654063)"
DDAP-Licensed Treatment Facility,Nuestra Clinica of Saca Drug and Alcohol Program,545 Pershing Avenue,Lancaster,717-293-4150,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.035442, -76.296165)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare/Belleville,3893 West Main Street PO Box 962,Mifflin,717-935-5400,42,087,44,44,"Belleville, Pennsylvania 17004
(40.604336, -77.72888)"
DDAP-Licensed Treatment Facility,Freedom Center for Women at Turning Point,853 Allegheny Boulevard,Venango,814-346-7165,42,121,61,61,"Franklin, Pennsylvania 16323
(41.40836, -79.796476)"
DDAP-Licensed Treatment Facility,Corry Memorial Hospital,965 Shamrock Lane,Erie,814-664-4641,42,049,25,25,"Corry, Pennsylvania 16407
(41.9203337, -79.6403287)"
DDAP-Licensed Treatment Facility,Gaudenzia at Sunbury,51 South Fourth Street,Northumberland,570-988-1901,42,097,49,49,"Sunbury, Pennsylvania 17801
(40.8603436, -76.791795)"
DDAP-Licensed Treatment Facility,"Wyoming Valley Alcohol and Drug Services, Inc.",437 North Main Street,Luzerne,570-820-8888,42,079,40,40,"Wilkes Barre, Pennsylvania 18705
(41.2531247, -75.8692944)"
DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center,331 Hickory Grade Road,Allegheny,412-221-9480,42,003,2,02,"So. Fayette Township, Pennsylvania 15017
(40.3400563, -80.1372757)"
DDAP-Licensed Treatment Facility,RHD - Womanspace,6400 Germantown Avenue,Philadelphia,215-844-2400,42,101,51,51,"Philadelphia, Pennsylvania 19119
(40.0458088, -75.1825779)"
DDAP-Licensed Treatment Facility,Footprints to Recovery,"992 Old Eagle School Road, Suite #904",Delaware,609-847-9718,42,045,23,23,"Wayne, Pennsylvania 19087
(40.07496, -75.41127)"
DDAP-Licensed Treatment Facility,Mercy Philadelphia Hospital,501 South 54 Street,Philadelphia,215-748-9525,42,101,51,51,"Philadelphia, Pennsylvania 19143
(39.95235, -75.23034)"
Center of Excellence,Public Health Management Corporation,1200 Callowhill Street (Suite 101),Philadelphia,267-398-0247 ,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.959273, -75.158724)"
DDAP-Licensed Treatment Facility,"Montco Recovery Center, LLC","262A Bethlehem Pike, Suite 102",Montgomery,215-398-1888,42,091,46,46,"Colmar, Pennsylvania 18915
(40.27464, -75.260086)"
DDAP-Licensed Treatment Facility,Trinity of Bradford County,100 Henry Street,Bradford,570-731-4534,42,015,8,08,"Sayre, Pennsylvania 18840
(41.768347, -76.448415)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.",830/840 Twining Road Suite 1,Montgomery,267-693-6968,42,091,46,46,"Dresher, Pennsylvania 19025
(40.131264, -75.165633)"
DDAP-Licensed Treatment Facility,Children's Home of York,77 Shoe House Road,York,717-755-1033,42,133,67,67,"York, Pennsylvania 17406
(39.966112, -76.722163)"
DDAP-Licensed Treatment Facility,Alliance Medical Services,729 Ensign Avenue,Allegheny,412-488-6360,42,003,2,02,"Pittsburgh, Pennsylvania 15226
(40.4058476, -80.0041965)"
DDAP-Licensed Treatment Facility,Parkside Recovery,11082 Knights Road,Philadelphia,215-632-9040,42,101,51,51,"Philadelphia, Pennsylvania 19154
(40.0836431, -74.9753894)"
DDAP-Licensed Treatment Facility,"The Program For Offenders, Inc.","564 Forbes Avenue, Suite 930",Allegheny,412-535-4343,42,003,2,02,"Pittsburgh, Pennsylvania 15219
(40.437655, -79.995074)"
DDAP-Licensed Treatment Facility,"Libertae, Inc.",5245 Bensalem Boulevard,Bucks,215-639-8681,42,017,9,09,"Bensalem, Pennsylvania 19020
(40.1143818, -74.9085636)"
PacMAT,"UPMC Insurance Division, New Directions","306 W. 11th Street, 2nd Floor",Erie,814-240-6216,42,049,25,25,"Erie, Pennsylvania 16501
(42.122582, -80.088509)"
DDAP-Licensed Treatment Facility,"NASR Consultant Group, Inc.","1500 North Second Street, Suite 23",Dauphin,717-695-9512,42,043,22,22,"Harrisburg, Pennsylvania 17102
(40.27056, -76.89296)"
DDAP-Licensed Treatment Facility,Lighthouse Counseling Associates,812 South Main Street,Lackawanna,570-562-1166,42,069,35,35,"Taylor, Pennsylvania 18517
(41.377766, -75.72102)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc.",912 E State Street,Mercer,724-359-2976,42,085,43,43,"Sharon, Pennsylvania 16146
(41.232709, -80.492516)"
DDAP-Licensed Treatment Facility,"Creative Health Services, Inc.",11 Robinson Street,Montgomery,610-327-1503,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.257304, -75.665687)"
DDAP-Licensed Treatment Facility,"Malvern Institute for Psychiatric and Alcoholic Studies, Inc.",240 Fitzwatertown Road,Montgomery,610-647-0330,42,091,46,46,"Willow Grove, Pennsylvania 19090
(40.1514047, -75.1269414)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare Inc. Pine Ridge,13505 South Eagle Valley Road,Blair,814-684-1373,42,013,7,07,"Tyrone, Pennsylvania 16686
(40.72055, -78.18709)"
DDAP-Licensed Treatment Facility,New Perspectives at White Deer Run,3030 Chestnut Street,Lebanon,717-270-3900,42,075,38,38,"Lebanon, Pennsylvania 17042
(40.337145, -76.4593118)"
DDAP-Licensed Treatment Facility,"Jade Wellness, LLC","809 Bingham Street, First Floor",Allegheny,412-400-5555,42,003,2,02,"Pittsburgh, Pennsylvania 15213
(40.429475, -79.990333)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare York Pharmacotherapy Services,104 Davies Drive,York,717-840-2300,42,133,67,67,"York, Pennsylvania 17402
(39.99374, -76.65223)"
DDAP-Licensed Treatment Facility,"Eihab Human Services, Incorporated",1200 Sr 92 South,Wyoming,570-388-6155,42,131,66,66,"Tunkhannock, Pennsylvania 18657
(41.491416, -75.904381)"
DDAP-Licensed Treatment Facility,"New Freedom Recovery Center, LLC",2000 Commerce Loop  Suite 2200,Westmoreland,724-382-4628,42,129,65,65,"North Huntingdon, Pennsylvania 15642
(40.31149, -79.72393)"
DDAP-Licensed Treatment Facility,Malvern Institute,940  West King Road,Chester,610-647-0330,42,029,15,15,"Malvern, Pennsylvania 19355
(40.028278, -75.5447499)"
DDAP-Licensed Treatment Facility,"Mazzitti and Sullivan Counseling Services, Inc.",313 West Liberty Street Suite 358,Lancaster,800-809-2925,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.051632, -76.31358)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.","270 Walker Drive, Suite 108A",Centre,888-694-9996,42,027,14,14,"State College, Pennsylvania 16801
(40.815286, -77.829905)"
DDAP-Licensed Treatment Facility,St. Gabriel's Hall,"Pawlings Road, Po Box 7280",Montgomery,610-666-7970,42,091,46,46,"Audubon, Pennsylvania 19407
(40.1135868, -75.4581839)"
DDAP-Licensed Treatment Facility,Scranton Counseling Center,320 Adams Avenue,Lackawanna,570-348-6100,42,069,35,35,"Scranton, Pennsylvania 18503
(41.408774, -75.660466)"
DDAP-Licensed Treatment Facility,"Clear Choices, LLC",373 Cleveland Street,Beaver,724-775-7905,42,007,4,04,"Rochester, Pennsylvania 15074
(40.7121007, -80.2863637)"
DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc.,141 West 11th Street,Erie,814-459-6304,42,049,25,25,"Erie, Pennsylvania 16501
(42.123199, -80.0846)"
DDAP-Licensed Treatment Facility,Williamsport Family Medical Center,2062 Lycoming Creek Road,Lycoming,570-505-1123,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.260474, -77.0433311)"
DDAP-Licensed Treatment Facility,Pathway to Recovery Counseling and Educational Services,223 West Broad Street,Luzerne,570-455-9902,42,079,40,40,"Hazleton, Pennsylvania 18201
(40.95497, -75.97745)"
PacMAT,"Allegheny Health Network, Community Primary Care",1000 W View Park Dr. Suite 1,Allegheny,412-939-3090,42,003,2,02,"West View, Pennsylvania 15229
(40.516228, -80.037401)"
DDAP-Licensed Treatment Facility,"The Lancaster Freedom Center, Inc.",436 North Lime Street,Lancaster,717-397-9118,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.0456862, -76.303018)"
DDAP-Licensed Treatment Facility,Positive Pathways,2624 Rochester Road,Butler,412-894-8222,42,019,10,10,"Cranberry Township, Pennsylvania 16066
(40.698616, -80.121249)"
DDAP-Licensed Treatment Facility,"Crisis Management Services, Inc.",2401 Penrose Avenue,Philadelphia,215-755-6112,42,101,51,51,"Philadelphia, Pennsylvania 19145
(39.9064949, -75.1920823)"
DDAP-Licensed Treatment Facility,"Holistix Outpatient Center, LLC",2300 South Broad Street Suites 202 & 203,Philadelphia,267-428-0889,42,101,51,51,"Philadelphia, Pennsylvania 19145
(39.921786, -75.170613)"
Center of Excellence,Pennsylvania Care LLC DBA Miners Medical,43 Main Street,Luzerne,570-822-5145,42,079,40,40,"Ashley, Pennsylvania 18706
(41.211798, -75.901581)"
DDAP-Licensed Treatment Facility,"Catholic Social Services of the Diocese of Scranton, Inc.",724-A Phillips Street,Monroe,570-517-0892,42,089,45,45,"Stroudsburg, Pennsylvania 18360
(40.9914233, -75.1989549)"
DDAP-Licensed Treatment Facility,Lebanon Treatment Center,3030 Chestnut Street,Lebanon,717-273-8000,42,075,38,38,"Lebanon, Pennsylvania 17042
(40.337145, -76.459311)"
DDAP-Licensed Treatment Facility,The Consortium W.O.R.D. 2,"26 South 40th Street, Second Floor",Philadelphia,215-596-8300,42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.9564149, -75.202126)"
DDAP-Licensed Treatment Facility,Yorktowne Psychological And Addiction Services,220 East King Street,York,717-843-4357,42,133,67,67,"York, Pennsylvania 17403
(39.9623315, -76.7223432)"
DDAP-Licensed Treatment Facility,Peniel Drug & Alcohol Residential Treatment Facility,760 Cooper Avenue,Cambria,814-536-2111,42,021,11,11,"Johnstown, Pennsylvania 15906
(40.3700569, -78.9333354)"
DDAP-Licensed Treatment Facility,Penn Pavilion,701 Penn Avenue,Beaver,724-843-3212,42,007,4,04,"New Brighton, Pennsylvania 15066
(40.7396301, -80.3080994)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc.",146 West 25Th Street,Erie,814-315-6671,42,049,25,25,"Erie, Pennsylvania 16502
(42.111923, -80.077358)"
