,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
83,DDAP-Licensed Treatment Facility,Gaudenzia Inc. Harrisburg Concept 90,"124 Azalea Drive, Harrisburg State Hospital, Building 21",Dauphin,717-232-3232,42,043,22,22,"{'latitude': '40.2859191', 'longitude': '-76.8779072', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17110""}'}",1524,418,41,23,18
84,DDAP-Licensed Treatment Facility,"T. W. Ponessa and Associates Counseling Services, Inc.",900 North 6th Street,Dauphin,717-233-4027,42,043,22,22,"{'latitude': '40.267788', 'longitude': '-76.884544', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17102""}'}",1625,182,42,23,18
85,DDAP-Licensed Treatment Facility,Bradford Recovery Systems,116 Interstate Parkway 4th Floor,McKean,814-362-8421,42,083,42,42,"{'latitude': '41.9564953', 'longitude': '-78.649163', 'human_address': '{""address"": """", ""city"": ""Bradford"", ""state"": ""Pennsylvania"", ""zip"": ""16701""}'}",999,138,14,14,47
86,Center of Excellence,The Wright Center for Primary Care Clarks Summit,1145 Northern Boulevard,Lackawanna,570-585-1300,42,069,35,35,"{'latitude': '41.487749', 'longitude': '-75.696799', 'human_address': '{""address"": """", ""city"": ""Clarks Summit"", ""state"": ""Pennsylvania"", ""zip"": ""18411""}'}",325,13,101,34,22
87,DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,"6200 Brooktree Road, Suite 210",Allegheny,724-225-9700,42,003,2,02,"{'latitude': '40.614096', 'longitude': '-80.0616704', 'human_address': '{""address"": """", ""city"": ""Wexford"", ""state"": ""Pennsylvania"", ""zip"": ""15090""}'}",1203,95,154,9,40
88,DDAP-Licensed Treatment Facility,"Familylinks, Inc.",2644 Banksville Road,Allegheny,412-924-0346,42,003,2,02,"{'latitude': '40.405714', 'longitude': '-80.037613', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15216""}'}",2158,324,97,6,40
89,Center of Excellence,Narcotic Addiction Rehabilitation Program (NARP) of Thomas Jefferson University,21st Street and Washington Avenue (first floor) ,Philadelphia,215-735-5979,42,101,51,51,"{'latitude': '39.939513', 'longitude': '-75.178286', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19146""}'}",1069,365,192,47,13
90,DDAP-Licensed Treatment Facility,Samara House of CYWA,423 East Lincoln Highway,Chester,610-384-9591,42,029,15,15,"{'latitude': '39.98482', 'longitude': '-75.81665', 'human_address': '{""address"": """", ""city"": ""Coatesville"", ""state"": ""Pennsylvania"", ""zip"": ""19320""}'}",944,142,96,32,6
91,PacMAT,"UPMC Insurance Division, Stairways Behavioral Health",2185 W. 8th Street,Erie,814-453-5806,42,049,25,25,"{'latitude': '42.108977', 'longitude': '-80.133001', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16505""}'}",2182,61,50,4,30
92,DDAP-Licensed Treatment Facility,Pennsylvania Organization For Women In Early Recovery (POWER),7445 Church Street,Allegheny,412-271-0500,42,003,2,02,"{'latitude': '40.42256', 'longitude': '-79.88875', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15218""}'}",713,489,93,11,40
93,DDAP-Licensed Treatment Facility,Open Door Counseling At Mazzoni Center,1334 Bainbridge Street,Philadelphia,215-563-0663,42,101,51,51,"{'latitude': '39.9471476', 'longitude': '-75.1633257', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19147""}'}",1069,365,190,47,13
94,DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC","355 Fifth Ave, Suite 1419",Allegheny,412-246-8965,42,003,2,02,"{'latitude': '40.4404409', 'longitude': '-79.9986958', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15222""}'}",2158,324,164,6,40
95,DDAP-Licensed Treatment Facility,Community Counseling Center of Mercer County,77 North Main Street,Mercer,724-981-7141,42,085,43,43,"{'latitude': '41.4107423', 'longitude': '-80.3739582', 'human_address': '{""address"": """", ""city"": ""Greenville"", ""state"": ""Pennsylvania"", ""zip"": ""16125""}'}",2430,216,26,3,54
96,DDAP-Licensed Treatment Facility,"Project Transition, Inc.","530 West Street Road, Suite 100",Bucks,215-322-1135,42,017,9,09,"{'latitude': '40.2041802', 'longitude': '-75.0958772', 'human_address': '{""address"": """", ""city"": ""Warminster"", ""state"": ""Pennsylvania"", ""zip"": ""18974""}'}",1302,17,158,42,35
97,DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.",5501 Chestnut Street,Philadelphia,800-860-0703,42,101,51,51,"{'latitude': '39.959432', 'longitude': '-75.231251', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19139""}'}",1069,365,188,44,13
98,DDAP-Licensed Treatment Facility,"Visualize Change, LLC",913 Centre Street,Schuylkill,570-875-2271,42,107,54,54,"{'latitude': '40.782498', 'longitude': '-76.343342', 'human_address': '{""address"": """", ""city"": ""Ashland"", ""state"": ""Pennsylvania"", ""zip"": ""17921""}'}",1728,316,53,27,64
99,DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc. Daniel Snow House",361 West Fifth Street,Erie,814-456-5758,42,049,25,25,"{'latitude': '42.1272133', 'longitude': '-80.0941526', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16507""}'}",2182,61,50,4,30
100,DDAP-Licensed Treatment Facility,"Glenn R. Koch and Associates, LLC",961 Marcon Boulevard Suite 312,Lehigh,610-266-0610,42,077,39,39,"{'latitude': '40.644136', 'longitude': '-75.439432', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18109""}'}",549,18,142,10,26
101,Center of Excellence,Reading Hospital and Health System (RH and RHS),6th Avenue & Spruce Street,Berks,"484-628-8070, option 2",42,011,6,06,"{'latitude': '40.332648', 'longitude': '-75.950018', 'human_address': '{""address"": """", ""city"": ""West Reading"", ""state"": ""Pennsylvania"", ""zip"": ""19611""}'}",1591,494,150,31,45
102,DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",420 Supreme Court Drive,Monroe,570-213-3300,42,089,45,45,"{'latitude': '40.99953', 'longitude': '-75.18129', 'human_address': '{""address"": """", ""city"": ""East Stroudsburg"", ""state"": ""Pennsylvania"", ""zip"": ""18302""}'}",1043,193,110,38,56
103,DDAP-Licensed Treatment Facility,"Rehab Management, Inc. Rehab After Work","1566 Medical Drive, Suite 300",Montgomery,610-644-6464,42,091,46,46,"{'latitude': '40.2445562', 'longitude': '-75.5901134', 'human_address': '{""address"": """", ""city"": ""Pottstown"", ""state"": ""Pennsylvania"", ""zip"": ""19464""}'}",1221,302,57,33,57
104,DDAP-Licensed Treatment Facility,Axiom Family Counseling Services,3 Kensington Square,Westmoreland,878-847-7179,42,129,65,65,"{'latitude': '40.563069', 'longitude': '-79.766625', 'human_address': '{""address"": """", ""city"": ""New Kensington"", ""state"": ""Pennsylvania"", ""zip"": ""15068""}'}",2454,235,79,8,24
105,DDAP-Licensed Treatment Facility,"Men & Women For Human Excellence, Inc.",2603 W. Cecil B. Moore Avenue,Philadelphia,215-769-7045,42,101,51,51,"{'latitude': '39.9813987', 'longitude': '-75.1774274', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19121""}'}",1069,365,191,46,13
106,DDAP-Licensed Treatment Facility,Soar Corp.,"9150 Marshall Street, Ul Pavilion, Second Floor",Philadelphia,215-464-4450,42,101,51,51,"{'latitude': '40.068629', 'longitude': '-75.0026972', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19114""}'}",1069,365,166,49,13
107,DDAP-Licensed Treatment Facility,Laure Rohrs Gargano,115 Farley Circle Suite 109,Union,570-490-3028,42,119,60,60,"{'latitude': '40.963834', 'longitude': '-76.909295', 'human_address': '{""address"": """", ""city"": ""Lewisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17837""}'}",2342,296,72,21,49
108,DDAP-Licensed Treatment Facility,Reading Hospital,"321 N. Furnace Street, Suite 100",Berks,484-628-8070,42,011,6,06,"{'latitude': '40.267411', 'longitude': '-75.808024', 'human_address': '{""address"": """", ""city"": ""Birdsboro"", ""state"": ""Pennsylvania"", ""zip"": ""19508""}'}",1315,63,116,31,45
109,DDAP-Licensed Treatment Facility,Race To Recovery Now,"1999 Sproul Road, Suite 10",Delaware,601-325-0500,42,045,23,23,"{'latitude': '39.96352', 'longitude': '-75.35764', 'human_address': '{""address"": """", ""city"": ""Broomall"", ""state"": ""Pennsylvania"", ""zip"": ""19008""}'}",1674,236,62,39,28
110,Center of Excellence,Esper Treatment Center,25 West 18th Street,Erie,814-459-0817,42,049,25,25,"{'latitude': '42.11809', 'longitude': '-80.07865', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16501""}'}",2182,61,51,4,30
111,DDAP-Licensed Treatment Facility,Butler Regional Recovery Day Program,216 North Washington Street,Butler,724-284-4274,42,019,10,10,"{'latitude': '40.8628986', 'longitude': '-79.8969015', 'human_address': '{""address"": """", ""city"": ""Butler"", ""state"": ""Pennsylvania"", ""zip"": ""16001""}'}",1378,100,10,5,1
112,DDAP-Licensed Treatment Facility,The Graniteville House of Recovery,5242 Main Road,Luzerne,706-664-1444,42,079,40,40,"{'latitude': '41.273322', 'longitude': '-76.150732', 'human_address': '{""address"": """", ""city"": ""Sweet Valley"", ""state"": ""Pennsylvania"", ""zip"": ""18656""}'}",1418,228,91,29,14
113,DDAP-Licensed Treatment Facility,Gaudenzia Inc. Elsie Shenk Outpatient Center,211 East Mifflin Street,Lancaster,717-286-9088,42,071,36,36,"{'latitude': '40.0377189', 'longitude': '-76.3007158', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17602""}'}",1993,89,143,25,23
114,DDAP-Licensed Treatment Facility,Aldie Counseling Center,2291 Cabot Boulevard West,Bucks,215-642-3230,42,017,9,09,"{'latitude': '40.1919967', 'longitude': '-74.8688629', 'human_address': '{""address"": """", ""city"": ""Langhorne"", ""state"": ""Pennsylvania"", ""zip"": ""19047""}'}",338,358,169,40,35
115,DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC",378 West Chestnut Street  Suite 106,Washington,412-246-8965,42,125,63,63,"{'latitude': '40.170961', 'longitude': '-80.253887', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
116,PacMAT,"UPMC Insurance Division, Crossroads Counseling",501 E. 3rd Street,Lycoming,570-323-7535,42,081,41,41,"{'latitude': '41.2447688', 'longitude': '-76.993962', 'human_address': '{""address"": """", ""city"": ""Williamsport"", ""state"": ""Pennsylvania"", ""zip"": ""17701""}'}",1903,441,76,21,15
117,DDAP-Licensed Treatment Facility,New Directions Treatment Services,2442 Brodhead Road,Northampton,610-758-8011,42,095,48,48,"{'latitude': '40.6779014', 'longitude': '-75.3663457', 'human_address': '{""address"": """", ""city"": ""Bethlehem"", ""state"": ""Pennsylvania"", ""zip"": ""18020""}'}",2076,121,114,10,59
118,DDAP-Licensed Treatment Facility,Sphs Behavioral Health,203 South Maple Avenue,Westmoreland,724-834-0420,42,129,65,65,"{'latitude': '40.3015', 'longitude': '-79.54286', 'human_address': '{""address"": """", ""city"": ""Greensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15601""}'}",2380,214,81,13,24
119,DDAP-Licensed Treatment Facility,Soar Corp,7500 Bristol Pike,Bucks,215-464-4450,42,017,9,09,"{'latitude': '40.13143', 'longitude': '-74.83123', 'human_address': '{""address"": """", ""city"": ""Levittown"", ""state"": ""Pennsylvania"", ""zip"": ""19057""}'}",2334,147,167,50,35
120,DDAP-Licensed Treatment Facility,Discovery House PA,1391 Washington Boulevard,Allegheny,412-661-9222,42,003,2,02,"{'latitude': '40.4699876', 'longitude': '-79.9089634', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15206""}'}",2158,324,104,9,40
121,DDAP-Licensed Treatment Facility,"Mainstream Counseling, Inc.",11 West Shirley Street,Huntingdon,814-643-1114,42,061,31,31,"{'latitude': '40.385223', 'longitude': '-77.884453', 'human_address': '{""address"": """", ""city"": ""Mount Union"", ""state"": ""Pennsylvania"", ""zip"": ""17066""}'}",90,290,32,17,38
122,DDAP-Licensed Treatment Facility,"Family Child Resources, Inc.",3995 East Market Street,York,717-757-1227,42,133,67,67,"{'latitude': '39.992316', 'longitude': '-76.637537', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17402""}'}",547,28,3,28,12
123,DDAP-Licensed Treatment Facility,Mercy Behavioral Health,330 South 9th Street,Allegheny,412-488-4040,42,003,2,02,"{'latitude': '40.4965', 'longitude': '-79.9338', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15203""}'}",814,172,105,6,40
124,DDAP-Licensed Treatment Facility,Family A.C.T.S. Incorporated,837 Fifth Avenue,Armstrong,724-763-7600,42,005,3,03,"{'latitude': '40.7693355', 'longitude': '-79.5311466', 'human_address': '{""address"": """", ""city"": ""Ford City"", ""state"": ""Pennsylvania"", ""zip"": ""16226""}'}",248,106,11,15,41
125,DDAP-Licensed Treatment Facility,Key Recovery Center Ambler,722 East Butler Pike,Montgomery,215-542-4825,42,091,46,46,"{'latitude': '40.1545535', 'longitude': '-75.2215651', 'human_address': '{""address"": """", ""city"": ""Ambler"", ""state"": ""Pennsylvania"", ""zip"": ""19002""}'}",830,487,173,42,57
126,DDAP-Licensed Treatment Facility,"Discovery House Group, Inc.",920 Century Drive,Cumberland,401-465-7615,42,041,21,21,"{'latitude': '40.211136', 'longitude': '-76.963661', 'human_address': '{""address"": """", ""city"": ""Mechanicsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17055""}'}",1266,486,39,20,17
127,DDAP-Licensed Treatment Facility,Women's Institute for Family Health,"5936 Chestnut Street, 1st Floor",Philadelphia,215-747-2391,42,101,51,51,"{'latitude': '39.960143', 'longitude': '-75.24054', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19139""}'}",1069,365,195,44,13
128,DDAP-Licensed Treatment Facility,T. W. Ponessa and Associates Counseling Services Inc.,2845 Eastern Boulevard,York,717-840-6444,42,133,67,67,"{'latitude': '39.9739', 'longitude': '-76.67005', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17402""}'}",547,496,137,28,12
129,DDAP-Licensed Treatment Facility,"Fulton Behavioral Health Services, PC","214 Peach Orchard Road, South Wing",Fulton,717-485-6102,42,057,29,29,"{'latitude': '39.937216', 'longitude': '-78.006755', 'human_address': '{""address"": """", ""city"": ""Mcconnellsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17233""}'}",1134,26,31,17,36
130,Center of Excellence,Crozer-Chester Medical Center - Community Hospital,2600 West 9th Street,Delaware,610-497-7459,42,045,23,23,"{'latitude': '39.838247', 'longitude': '-75.393566', 'human_address': '{""address"": """", ""city"": ""Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19013""}'}",2467,160,65,35,28
131,DDAP-Licensed Treatment Facility,Mental Health Associates of North Central Pa,21 Main Street,Bradford,570-265-2525,42,015,8,08,"{'latitude': '41.7706915', 'longitude': '-76.4431495', 'human_address': '{""address"": """", ""city"": ""Towanda"", ""state"": ""Pennsylvania"", ""zip"": ""18848""}'}",18,349,88,21,34
132,DDAP-Licensed Treatment Facility,Clear Concepts Counseling,218 West High Street,Centre,814-355-7629,42,027,14,14,"{'latitude': '40.9116439', 'longitude': '-77.7798006', 'human_address': '{""address"": """", ""city"": ""Bellefonte"", ""state"": ""Pennsylvania"", ""zip"": ""16823""}'}",1899,1,71,18,5
133,DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Carlisle,1 Greystone Road,Cumberland,717-245-9255,42,041,21,21,"{'latitude': '40.200066', 'longitude': '-77.17024', 'human_address': '{""address"": """", ""city"": ""Carlisle"", ""state"": ""Pennsylvania"", ""zip"": ""17013""}'}",258,146,40,17,17
134,DDAP-Licensed Treatment Facility,Marworth,100 Lily Lake Road,Lackawanna,570-563-1112,42,069,35,35,"{'latitude': '41.54734', 'longitude': '-75.70574', 'human_address': '{""address"": """", ""city"": ""Waverly"", ""state"": ""Pennsylvania"", ""zip"": ""18471""}'}",1533,13,100,34,22
135,DDAP-Licensed Treatment Facility,Positive Pathways,139 Wabash Street,Allegheny,412-465-1050,42,003,2,02,"{'latitude': '40.437465', 'longitude': '-80.034333', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15220""}'}",2158,324,97,6,40
136,DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services - Allison Hill,548 South 17th Street,Dauphin,717-695-7919,42,043,22,22,"{'latitude': '40.25933', 'longitude': '-76.86097', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17104""}'}",1625,182,42,23,18
137,DDAP-Licensed Treatment Facility,Waddington Rehab Center,2681 Waddington Avenue,Allegheny,724-483-4282,42,003,2,02,"{'latitude': '40.395911', 'longitude': '-80.028249', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15226""}'}",2158,324,157,6,40
138,DDAP-Licensed Treatment Facility,"Cen-Clear, Inc.",44 South 7th Avenue,Clarion,814-226-4171,42,031,16,16,"{'latitude': '41.212061', 'longitude': '-79.383297', 'human_address': '{""address"": """", ""city"": ""Clarion"", ""state"": ""Pennsylvania"", ""zip"": ""16214""}'}",675,46,24,5,7
139,DDAP-Licensed Treatment Facility,Gateway North Hills,105 Bradford Road Suite 100,Allegheny,724-776-4844,42,003,2,02,"{'latitude': '40.643006', 'longitude': '-80.068563', 'human_address': '{""address"": """", ""city"": ""Wexford"", ""state"": ""Pennsylvania"", ""zip"": ""15090""}'}",1203,95,154,9,40
140,DDAP-Licensed Treatment Facility,New Directions at Cove Forge,538 Main Street,Cambria,814-536-2071,42,021,11,11,"{'latitude': '40.3248452', 'longitude': '-78.9174493', 'human_address': '{""address"": """", ""city"": ""Johnstown"", ""state"": ""Pennsylvania"", ""zip"": ""15901""}'}",339,208,21,16,2
141,DDAP-Licensed Treatment Facility,"Retreat at Lancaster County PA, LLC",333 South Seventh Street,Lancaster,717-859-8000,42,071,36,36,"{'latitude': '40.155293', 'longitude': '-76.20574', 'human_address': '{""address"": """", ""city"": ""Akron"", ""state"": ""Pennsylvania"", ""zip"": ""17501""}'}",1100,60,133,26,23
