,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
62,VA Pittsburgh Healthcare System,4100 Allequippa Street,Pittsburgh,PA,15213,Allegheny,"{'latitude': '40.447623', 'longitude': '-79.959443', 'human_address': '{""address"": ""4100 Allequippa Street"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15213""}'}","{'type': 'Point', 'coordinates': [-79.960807, 40.446266]}",40.446266,-79.960807,No,Active,6,40,10,2158,324,164,,,Pharmacy,
63,State Police-Troop K / Media,1342 W Baltimore Pike,Media,PA,19063,Delaware,"{'latitude': '39.908185', 'longitude': '-75.449655', 'human_address': '{""address"": ""1342 W Baltimore Pike"", ""city"": ""Media"", ""state"": ""PA"", ""zip"": ""19063""}'}","{'type': 'Point', 'coordinates': [-75.451386, 39.906359]}",39.906359,-75.451386,No,Active,35,28,18,782,380,63,,,,
64,Millersville University Police Dept.,237 N. George Street,Millersville,PA,17551,Lancaster,"{'latitude': '40.00245', 'longitude': '-76.356157', 'human_address': '{""address"": ""237 N. George Street"", ""city"": ""Millersville"", ""state"": ""PA"", ""zip"": ""17551""}'}","{'type': 'Point', 'coordinates': [-76.3565239, 40.002308]}",40.002308,-76.3565239,Yes,Active,25,23,15,223,340,138,(717)872-3434,M-F 8:30 - 4:30,Operational,Chief Pete Anders
65,Walgreens Pharmacy (York Location),2350 E MARKET ST.,York,PA,17402,York,"{'latitude': '39.974052', 'longitude': '-76.68114', 'human_address': '{""address"": ""2350 E MARKET ST."", ""city"": ""York"", ""state"": ""PA"", ""zip"": ""17402""}'}","{'type': 'Point', 'coordinates': [-76.680415, 39.973484]}",39.973484,-76.680415,No,Active,28,12,16,547,496,137,717–840–3846,,,
66,State Police-Troop F / Montoursville,899 Cherry St.,Montoursville,PA,17754-2009,Lycoming,"{'latitude': '41.249069', 'longitude': '-76.913552', 'human_address': '{""address"": ""899 Cherry St."", ""city"": ""Montoursville"", ""state"": ""PA"", ""zip"": ""17754-2009""}'}","{'type': 'Point', 'coordinates': [-76.913503, 41.249446]}",41.249446,-76.913503,No,Active,21,15,2,2480,333,75,,,,
67,Swatara Township Police Dept.,599 Eisenhower Blvd.,Harrisburg,PA,17111,Dauphin,"{'latitude': '40.246652', 'longitude': '-76.810914', 'human_address': '{""address"": ""599 Eisenhower Blvd."", ""city"": ""Harrisburg"", ""state"": ""PA"", ""zip"": ""17111""}'}","{'type': 'Point', 'coordinates': [-76.8148925, 40.2513592]}",40.2513592,-76.8148925,No,Active,28,18,16,1932,25,69,(717)564-2550,M-F 8-4:30 or call for an officer,Operational,Chief Jason D. Umberger
68,Hamburg Police Department,61 N. Third St.,Hamburg,PA,19526,Berks,"{'latitude': '40.55583', 'longitude': '-75.984256', 'human_address': '{""address"": ""61 N. Third St."", ""city"": ""Hamburg"", ""state"": ""PA"", ""zip"": ""19526""}'}","{'type': 'Point', 'coordinates': [-75.98408, 40.556407]}",40.556407,-75.98408,Yes,Active,27,45,1,288,222,55,(610) 562-7228,,,
69,Oil City Police Dept.,21 Seneca Street,Oil City,PA,16301,Venango,"{'latitude': '41.433012', 'longitude': '-79.708222', 'human_address': '{""address"": ""21 Seneca Street"", ""city"": ""Oil City"", ""state"": ""PA"", ""zip"": ""16301""}'}","{'type': 'Point', 'coordinates': [-79.707911, 41.433051]}",41.433051,-79.707911,Yes,Active,5,50,3,1873,356,45,(814)678-3080,"24 hours, 7 days a week",Operational,Chief Robert Wenner
70,Coal Twp. Police Dept.,805 West Lynn Street,Coal Township,PA,17866,Northumberland,"{'latitude': '40.78803', 'longitude': '-76.565557', 'human_address': '{""address"": ""805 West Lynn Street"", ""city"": ""Coal Township"", ""state"": ""PA"", ""zip"": ""17866""}'}","{'type': 'Point', 'coordinates': [-76.5653955, 40.7882191]}",40.7882191,-76.5653955,Yes,Active,22,60,1,1494,370,54,(570)644-0333,M-F 8-4,Operational,Chief William Carpenter
71,State Police-Troop A / Ebensburg,100 Casale Court,Ebensburg,PA,15931,Cambria,"{'latitude': '40.461214', 'longitude': '-78.757275', 'human_address': '{""address"": ""100 Casale Court"", ""city"": ""Ebensburg"", ""state"": ""PA"", ""zip"": ""15931""}'}","{'type': 'Point', 'coordinates': [-78.755717, 40.46073]}",40.46073,-78.755717,No,Active,16,2,3,1566,23,20,,,,
72,Weatherly Police Dept.,65 West Main Street,Weatherly,PA,18255,Carbon,"{'latitude': '40.9433', 'longitude': '-75.83024', 'human_address': '{""address"": ""65 West Main Street"", ""city"": ""Weatherly"", ""state"": ""PA"", ""zip"": ""18255""}'}","{'type': 'Point', 'coordinates': [-75.830558, 40.943681]}",40.943681,-75.830558,Yes,Active,30,4,1,2399,443,108,(570)427-4241,M-F   24/7,Operational,Chief Brian Markovchick
73,Cumru Police Department,1775 Welsh Road,Mohnton,PA,19540,Berks,"{'latitude': '40.278568', 'longitude': '-75.969257', 'human_address': '{""address"": ""1775 Welsh Road"", ""city"": ""Mohnton"", ""state"": ""PA"", ""zip"": ""19540""}'}","{'type': 'Point', 'coordinates': [-75.971508, 40.2801]}",40.2801,-75.971508,Yes,Active,31,45,14,488,179,118,(610) 777-9595,,,
74,Lawrence Township Police Dept.,1215 Hall Street,Hyde,PA,16843,Clearfield,"{'latitude': '40.998511', 'longitude': '-78.465539', 'human_address': '{""address"": ""1215 Hall Street"", ""city"": ""Hyde"", ""state"": ""PA"", ""zip"": ""16843""}'}","{'type': 'Point', 'coordinates': [-78.465295, 40.997687]}",40.997687,-78.465295,Yes,Active,16,8,3,276,141,19,(814)765-1647,,,Chief Mark Brooks
75,CVS #1591,351 S. MAIN ST.,WILKES BARRE,PA,18701,"LUZERNE,PA","{'latitude': '41.240068', 'longitude': '-75.892289', 'human_address': '{""address"": ""351 S. MAIN ST."", ""city"": ""WILKES BARRE"", ""state"": ""PA"", ""zip"": ""18701""}'}","{'type': 'Point', 'coordinates': [-75.892653, 41.240391]}",41.240391,-75.892653,No,Active,30,14,7,1517,453,99,5708253215,Follows Pharmacy Hours of Operation,Pharmacy,
76,Borough of Baldwin Police Dept.,3344 Churchview Avenue,Pittsburgh,PA,15227,Allegheny,"{'latitude': '40.383468', 'longitude': '-79.955805', 'human_address': '{""address"": ""3344 Churchview Avenue"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15227""}'}","{'type': 'Point', 'coordinates': [-79.956936, 40.383409]}",40.383409,-79.956936,Yes,Active,8,40,10,2109,117,103,(412)882-9600,,,Chief Michael A. Scott
77,Upper Gwynedd Township Police Department,1 Parkside Place,North Wales,PA,19454,Montgomery,"{'latitude': '40.211178', 'longitude': '-75.286997', 'human_address': '{""address"": ""1 Parkside Place"", ""city"": ""North Wales"", ""state"": ""PA"", ""zip"": ""19454""}'}","{'type': 'Point', 'coordinates': [-75.2782317, 40.2109404]}",40.2109404,-75.2782317,No,Active,42,57,8,743,313,153,,8:30am-4:30pm;M-F,Operational,
78,State Police-Troop H / Gettysburg,3033 Old Harrisburg Rd.,Gettysburg,PA,17325,Adams,"{'latitude': '39.899346', 'longitude': '-77.184441', 'human_address': '{""address"": ""3033 Old Harrisburg Rd."", ""city"": ""Gettysburg"", ""state"": ""PA"", ""zip"": ""17325""}'}","{'type': 'Point', 'coordinates': [-77.186987, 39.896138]}",39.896138,-77.186987,No,Active,19,39,13,1949,92,35,,,,
79,Weis Markets (Lewisburg),6901 Westbranch Hwy,Lewisburg,PA,17837,Union,"{'latitude': '40.97415', 'longitude': '-76.88969', 'human_address': '{""address"": ""6901 Westbranch Hwy"", ""city"": ""Lewisburg"", ""state"": ""PA"", ""zip"": ""17837""}'}","{'type': 'Point', 'coordinates': [-76.887726, 40.976506]}",40.976506,-76.887726,No,Active,21,49,2,726,154,72,(570) 524-2915,7:00am - 9:00pm; Mon - Fri,active,
80,Limerick Township Police Department,646 West Ridge Pike,Limerick,PA,19468,Montgomery,"{'latitude': '40.239356', 'longitude': '-75.541273', 'human_address': '{""address"": ""646 West Ridge Pike"", ""city"": ""Limerick"", ""state"": ""PA"", ""zip"": ""19468""}'}","{'type': 'Point', 'coordinates': [-75.5407408, 40.2397459]}",40.2397459,-75.5407408,No,Active,33,57,8,754,241,57,(610)495-7909,M-F 8:30-4,Operational,Chief William J Albany
81,Beaver County Courthouse,810 Third Street,Beaver,PA,15009,Beaver,"{'latitude': '40.6938', 'longitude': '-80.308345', 'human_address': '{""address"": ""810 Third Street"", ""city"": ""Beaver"", ""state"": ""PA"", ""zip"": ""15009""}'}","{'type': 'Point', 'coordinates': [-80.308522, 40.694738]}",40.694738,-80.308522,Yes,Active,2,42,17,798,2,23,(724)770-4615,,,Sheriff Tony Guy
82,Wyomissing Borough Police Department,22 Reading Blvd,Wyomissing,PA,19610,Berks,"{'latitude': '40.334491', 'longitude': '-75.958712', 'human_address': '{""address"": ""22 Reading Blvd"", ""city"": ""Wyomissing"", ""state"": ""PA"", ""zip"": ""19610""}'}","{'type': 'Point', 'coordinates': [-75.95925, 40.334249]}",40.334249,-75.95925,No,Active,31,45,14,1341,494,118,(610)375-6102,24 hours a day/7 days a week,Operational,Chief Jeffrey R Biehl
83,Edinboro Borough Police Department,124 Meadville St,Edinboro,PA,16412,Erie,"{'latitude': '41.873332', 'longitude': '-80.131506', 'human_address': '{""address"": ""124 Meadville St"", ""city"": ""Edinboro"", ""state"": ""PA"", ""zip"": ""16412""}'}","{'type': 'Point', 'coordinates': [-80.1316659, 41.8733483]}",41.8733483,-80.1316659,No,Active,3,30,11,2386,91,49,(814)734-1712,24 hours a day/ 7 days a week,Operational,
84,Falls Township Police Department,188 Lincoln Hwy,Fairless Hills,PA,19030,Bucks,"{'latitude': '40.189107', 'longitude': '-74.844169', 'human_address': '{""address"": ""188 Lincoln Hwy"", ""city"": ""Fairless Hills"", ""state"": ""PA"", ""zip"": ""19030""}'}","{'type': 'Point', 'coordinates': [-74.870102, 40.18087]}",40.18087,-74.870102,No,Active,40,35,4,338,358,169,,,,(215) 949-9100
85,Geisinger Shamokin Area Community Hospital,4200 Hospital Road,Coal Township,PA,17866,Northumberland,"{'latitude': '40.805912', 'longitude': '-76.571465', 'human_address': '{""address"": ""4200 Hospital Road"", ""city"": ""Coal Township"", ""state"": ""PA"", ""zip"": ""17866""}'}","{'type': 'Point', 'coordinates': [-76.570607, 40.805741]}",40.805741,-76.570607,No,Active,22,60,1,1494,370,54,,,Pharmacy,
86,"PENNSYLVANIA CVS PHARMACY, L.L.C.",2400 ARAMINGO AVENUE,Philadlephia,PA,19125,Philadelphia,"{'latitude': '39.975357', 'longitude': '-75.121142', 'human_address': '{""address"": ""2400 ARAMINGO AVENUE"", ""city"": ""Philadlephia"", ""state"": ""PA"", ""zip"": ""19125""}'}","{'type': 'Point', 'coordinates': [-75.120377, 39.976322]}",39.976322,-75.120377,No,Active,48,13,5,1069,365,184,215-291-8315,,24 hours,
87,Lower Southampton Twp Police,1500 Desire Avenue,Feasterville,PA,19053,Bucks,"{'latitude': '40.15526', 'longitude': '-74.991987', 'human_address': '{""address"": ""1500 Desire Avenue"", ""city"": ""Feasterville"", ""state"": ""PA"", ""zip"": ""19053""}'}","{'type': 'Point', 'coordinates': [-74.9923101, 40.1555065]}",40.1555065,-74.9923101,No,Active,50,35,4,387,284,165,(215)357-1235,M-F 8:15-4:45,Operational,
88,Birdsboro Police Department,200 East Main Street,Birdsboro,PA,19508,Berks,"{'latitude': '40.266478', 'longitude': '-75.806461', 'human_address': '{""address"": ""200 East Main Street"", ""city"": ""Birdsboro"", ""state"": ""PA"", ""zip"": ""19508""}'}","{'type': 'Point', 'coordinates': [-75.8065867, 40.2659535]}",40.2659535,-75.8065867,No,Active,31,45,14,1315,63,116,(610)582-6037,Monday to Friday 8:30am – 4:30pm,Operational,Chief Theodore R Roth
89,Beaver Falls Police Department,715 15th St,Beaver Falls,PA,15010,Beaver,"{'latitude': '40.755977', 'longitude': '-80.320044', 'human_address': '{""address"": ""715 15th St"", ""city"": ""Beaver Falls"", ""state"": ""PA"", ""zip"": ""15010""}'}","{'type': 'Point', 'coordinates': [-80.320303, 40.755729]}",40.755729,-80.320303,No,Active,2,42,17,16,125,25,(724)846-7004,,Operational,Charles Jones
90,South Fayette Township Police Dept.,515 Millers Run Road,South Fayette,PA,15064,Allegheny,"{'latitude': '40.354525', 'longitude': '-80.143064', 'human_address': '{""address"": ""515 Millers Run Road"", ""city"": ""South Fayette"", ""state"": ""PA"", ""zip"": ""15064""}'}","{'type': 'Point', 'coordinates': [-80.143416, 40.355052]}",40.355052,-80.143416,Yes,Active,7,40,10,1606,391,2,(412)221-8700,"M-F, 8am-4:30pm",ordered 4-26-16,Chief John Phoennik
91,Kiskiminetas Township Police Dept.,1222 Old State Road,Apollo,PA,15613,Armstrong,"{'latitude': '40.585403', 'longitude': '-79.528778', 'human_address': '{""address"": ""1222 Old State Road"", ""city"": ""Apollo"", ""state"": ""PA"", ""zip"": ""15613""}'}","{'type': 'Point', 'coordinates': [-79.528896, 40.585051]}",40.585051,-79.528896,Yes,Active,15,41,3,633,104,11,(724)478-3357,,,Chief Jerrod Thompson
92,Borough of Green Tree Police Dept.,10 West Manilla Avenue,Pittsburgh,PA,15220,Allegheny,"{'latitude': '40.41821', 'longitude': '-80.046894', 'human_address': '{""address"": ""10 West Manilla Avenue"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15220""}'}","{'type': 'Point', 'coordinates': [-80.047023, 40.418767]}",40.418767,-80.047023,Yes,Active,6,40,17,1652,170,97,(412)921-8624,,,Chief Colin Cleary
93,State Police-Troop N / Bloomsburg,6850 Hidlay Church Rd.,Bloomsburg,PA,17815,Columbia,"{'latitude': '41.040204', 'longitude': '-76.358525', 'human_address': '{""address"": ""6850 Hidlay Church Rd."", ""city"": ""Bloomsburg"", ""state"": ""PA"", ""zip"": ""17815""}'}","{'type': 'Point', 'coordinates': [-76.358753, 41.039758]}",41.039758,-76.358753,No,Active,22,10,1,1104,24,90,,,,
94,Annville Twp Police Department,36 North Lancaster Street,Annville,PA,17003,Lebanon,"{'latitude': '40.32984', 'longitude': '-76.51747', 'human_address': '{""address"": ""36 North Lancaster Street"", ""city"": ""Annville"", ""state"": ""PA"", ""zip"": ""17003""}'}","{'type': 'Point', 'coordinates': [-76.517264, 40.329871]}",40.329871,-76.517264,No,Active,28,25,1,767,103,130,717-867-2711,M-F    9:00 – 3:00,,
95,Perryopolis Police Dept.,721 Cemetery Road,Perryopolis,PA,15473,Fayette,"{'latitude': '40.081427', 'longitude': '-79.749244', 'human_address': '{""address"": ""721 Cemetery Road"", ""city"": ""Perryopolis"", ""state"": ""PA"", ""zip"": ""15473""}'}","{'type': 'Point', 'coordinates': [-79.749721, 40.081657]}",40.081657,-79.749721,Yes,Active,1,31,9,17,175,8,(724)736-0700,,,Chief Roger L. Beadling
96,CVS #1376,1201 N. FIFTH ST.,PERKASIE,PA,18944,"BUCKS,PA","{'latitude': '40.383327', 'longitude': '-75.276798', 'human_address': '{""address"": ""1201 N. FIFTH ST."", ""city"": ""PERKASIE"", ""state"": ""PA"", ""zip"": ""18944""}'}","{'type': 'Point', 'coordinates': [-75.276434, 40.383081]}",40.383081,-75.276434,No,Active,40,35,4,1364,345,128,2152572680,Follows Pharmacy Hours of Operation,Pharmacy,
97,State Police-Troop L /Hamburg,90 Industrial Dr.,Hamburg,PA,19526-8767,Berks,"{'latitude': '40.56358', 'longitude': '-76.002656', 'human_address': '{""address"": ""90 Industrial Dr."", ""city"": ""Hamburg"", ""state"": ""PA"", ""zip"": ""19526-8767""}'}","{'type': 'Point', 'coordinates': [-76.002489, 40.564162]}",40.564162,-76.002489,No,Active,27,45,1,458,222,55,,,,
98,Upper Merion Township Police Department,175 W. Valley Forge Rd,King of Prussia,PA,19406,Montgomery,"{'latitude': '40.102635', 'longitude': '-75.372949', 'human_address': '{""address"": ""175 W. Valley Forge Rd"", ""city"": ""King of Prussia"", ""state"": ""PA"", ""zip"": ""19406""}'}","{'type': 'Point', 'coordinates': [-75.3924348, 40.1031473]}",40.1031473,-75.3924348,No,Active,41,57,8,867,454,174,(610)265-3232,24 hours a day/ 7 days a week,Operational,Chief Ronald Fonock
99,Indiana County District Attorney's Office,825 Philadelphia Street,Indiana,PA,15701,Indiana,"{'latitude': '40.622991', 'longitude': '-79.155125', 'human_address': '{""address"": ""825 Philadelphia Street"", ""city"": ""Indiana"", ""state"": ""PA"", ""zip"": ""15701""}'}","{'type': 'Point', 'coordinates': [-79.1549178, 40.6229795]}",40.6229795,-79.1549178,No,Active,15,19,3,1224,269,27,(724)465-3835,M-F 8am-4pm,Operational,D.A. Patrick Dougherty
100,New Cumberland Borough Police Dept.,1120 Market Street,New Cumberland,PA,17070,Cumberland,"{'latitude': '40.234138', 'longitude': '-76.872426', 'human_address': '{""address"": ""1120 Market Street"", ""city"": ""New Cumberland"", ""state"": ""PA"", ""zip"": ""17070""}'}","{'type': 'Point', 'coordinates': [-76.8725247, 40.2336397]}",40.2336397,-76.8725247,Yes,Active,20,17,16,2156,486,39,(717)774-0400,M-F 8am-4pm,Operational,Chief Joe Spadaccino
101,Carroll Township Police Dept.,130 Baird Street,Monongahela,PA,15063,Washington,"{'latitude': '40.168642', 'longitude': '-79.91488', 'human_address': '{""address"": ""130 Baird Street"", ""city"": ""Monongahela"", ""state"": ""PA"", ""zip"": ""15063""}'}","{'type': 'Point', 'coordinates': [-79.9145497, 40.1693996]}",40.1693996,-79.9145497,Yes,Active,12,52,9,2392,409,5,(724)483-5556,M-F 8-3,Operational,Chief Paul Brand
102,Pittston City Police Dept. Headquarters,35 Broad Street,Pittston,PA,18640,Luzerne,"{'latitude': '41.319283', 'longitude': '-75.78185', 'human_address': '{""address"": ""35 Broad Street"", ""city"": ""Pittston"", ""state"": ""PA"", ""zip"": ""18640""}'}","{'type': 'Point', 'coordinates': [-75.7893321, 41.3220319]}",41.3220319,-75.7893321,Yes,Active,30,14,7,26,323,102,(570)654-0513,M-F 8am-4:30pm.,Operational,Chief Robert Powers
103,Sandy Township Police Dept.,1094 Chestnut Avenue,DuBois,PA,15801,Clearfield,"{'latitude': '41.113422', 'longitude': '-78.737808', 'human_address': '{""address"": ""1094 Chestnut Avenue"", ""city"": ""DuBois"", ""state"": ""PA"", ""zip"": ""15801""}'}","{'type': 'Point', 'coordinates': [-78.737823, 41.113189]}",41.113189,-78.737823,Yes,Active,14,8,3,297,188,15,(814)371-4220,,,Chief Donald Routch
104,Weis Markets - Nanticoke,1 Weis Plaza,Nanticoke,PA,18634,Luzerne,"{'latitude': '41.20661', 'longitude': '-76.00375', 'human_address': '{""address"": ""1 Weis Plaza"", ""city"": ""Nanticoke"", ""state"": ""PA"", ""zip"": ""18634""}'}","{'type': 'Point', 'coordinates': [-76.003376, 41.20673]}",41.20673,-76.003376,No,Active,30,14,7,382,212,92,,Monday - Friday: 9 a.m. – 9 p.m./ Saturday: 9 a.m. – 6 p.m. / Saturday: 9 a.m. – 6 p.m.,Pharmacy,
105,State Police-Troop G / Hollidaysburg,1510 N Juniata St.,Hollidaysburg,PA,16648,Blair,"{'latitude': '40.435186', 'longitude': '-78.406434', 'human_address': '{""address"": ""1510 N Juniata St."", ""city"": ""Hollidaysburg"", ""state"": ""PA"", ""zip"": ""16648""}'}","{'type': 'Point', 'coordinates': [-78.405774, 40.434906]}",40.434906,-78.405774,No,Active,17,46,13,1589,268,28,,,,
106,Tatamy Borough Police Dept.,423 Broad Street,Tatamy,PA,18085,Northampton,"{'latitude': '40.740398', 'longitude': '-75.253177', 'human_address': '{""address"": ""423 Broad Street"", ""city"": ""Tatamy"", ""state"": ""PA"", ""zip"": ""18085""}'}","{'type': 'Point', 'coordinates': [-75.253182, 40.740625]}",40.740625,-75.253182,Yes,Active,10,59,12,1692,280,113,(610)252-2260,,Operational,OIC Keith Snyder
107,Walgreens Pharmacy (Altoona Location),508 E PLANK RD,Altoona,PA,16602,Blair,"{'latitude': '40.479258', 'longitude': '-78.403122', 'human_address': '{""address"": ""508 E PLANK RD"", ""city"": ""Altoona"", ""state"": ""PA"", ""zip"": ""16602""}'}","{'type': 'Point', 'coordinates': [-78.403658, 40.479519]}",40.479519,-78.403658,No,Active,17,46,13,52,101,29,814–944–3236,,,
108,Chester Police,160 E. 7th St.,Chester,PA,19013,Delaware,"{'latitude': '39.851343', 'longitude': '-75.359203', 'human_address': '{""address"": ""160 E. 7th St."", ""city"": ""Chester"", ""state"": ""PA"", ""zip"": ""19013""}'}","{'type': 'Point', 'coordinates': [-75.359305, 39.851556]}",39.851556,-75.359305,No,Active,35,28,18,2467,160,65,,,,
109,Hastings Borough Police Department,207 5th Avenue,Hastings,PA,166646,Cambria,"{'latitude': '40.665494', 'longitude': '-78.711123', 'human_address': '{""address"": ""207 5th Avenue"", ""city"": ""Hastings"", ""state"": ""PA"", ""zip"": ""166646""}'}","{'type': 'Point', 'coordinates': [-78.711082, 40.665337]}",40.665337,-78.711082,No,Active,16,2,3,1255,116,19,,,,
